,nom motif,a0,a1,a2,a12
4,sol asphalte,29.1253404146048,-0.0117744827666346,-2.0116535914199,0.0920181555196375
1,sol terre,22.3043872071957,-0.230124335262717,-1.88339900427476,-0.0675908164449854
3,sol pelouse,4.27642430721242,-3.29478565511318,-2.64319779519921,0.843612310348496
14,arbre isole asphalte,4.44359043121947,-1.51684332673559,-3.95797119742172,-0.559304406489619
11,arbre isole terre,1.73281745555867,-1.75860004018319,-3.89244192412889,-0.547836417285572
13,arbre isole pelouse,-6.67366743659228,-4.13956182256667,-4.46980929214131,-0.211113667326749
24,boise asphalte,0.415435545529793,-0.287005054934395,-2.2670136006191,-0.128339054152392
21,boise terre,-0.0968724187010324,-0.437891525770329,-2.23445385568644,-0.126367981263718
23,boise pelouse,-2.66564561607835,-1.17550056603588,-2.45931080447574,-0.0079339194004433
34,foret asphalte,-1.89085684641183,-0.160398384086339,-2.06909520722671,-0.0967623574597338
31,foret terre,-2.08483042924787,-0.232572436332018,-2.05723165821555,-0.0920800134096895
33,foret pelouse,-3.29495164260349,-0.607850634777389,-2.17968209845366,-0.0483086327504978
